迪莫: 攻击↓ | 生命+魔攻+物防/魔防/速度 | 折射 / 过曝 / 气泡 / 超导 / 棘突 / 离子震荡 / 恶能量 | 折射强化站场玩法；打击面4选2；恶血脉吸血机械血脉强化双防
寂灭骨龙: 魔攻↓ | 生命+攻击+魔防/物防 | 隼鳞 / 吓退 / 先发制人 / 龙威 | 骨龙能量大大方方用；复活之后能量会恢复到10；玩骨龙切记注意自己剩余魔力值
龙息帕尔: 魔攻↓ | 生命+攻击+速度 | 撕裂 / 先发制人 / 俯冲 | 机制独一份的强大；配合星陨抓杀拿取两张奖赏卡！；残局上场昏厥对手拿取两张奖赏卡！
食尘短绒: 魔攻↓ | 生命+攻击/物防+魔防 | 石锁 / 遁地 / 倾泻 / 地刺 | 上场偷印记；石锁抓生命遁地倾泻；地刺拦截不让聚能逼退对手
画间法师手: 攻击↓ | 生命+魔攻+速度 | 霜降 | 靠队友或者自己挂霜降；通过特性攻击时赋予更多冻结；队友雪影娃娃的加能耗效果也受影响
画间沉铁兽:  |  |  | 
绒仙子: 魔攻↓ | 生命+攻击+速度 | 光刃 / 取念 / 草虫冲击 / 扇风 / 啮合传递 | 啮合！铠甲！；光刃！；取念等奇迹草虫冲击/扇风取念
疾光千兽: 魔攻↓ | 生命+攻击+防御/魔防 | 先发制人 / 无影脚 / 冰爪 / 光刃 / 防御 | 抓首领化；抓不到等于没有特性的沉铁兽
利灯鱼: 攻击↓ | 生命+魔攻+速度 | 落雷 / 水光冲击 / 灵媒 / 魔法增效 / 超导 / 超导加速 | 极速建议搭配蓄势印记使用；超导加速”次可以过125极速；两次过145极速
月牙雪熊:  |  | 先发制人 / 偷袭 / 暴风雪 / 吓退 | 冻结队最后一块拼图；残局上场拯救世界；冻结+星陨斩杀线极高
窃光蚊: 魔攻↓ | 生命+攻击+速度 | 光之矛 / 力量增效 / 连续毒针 / 毒针 / 先发制人 | 光+恶属性组合；可以压制帕尔0毒队，雪影；特性可以拿到对手技能打击面信息
燃薪虫: 魔攻↓ | 生命+物防+魔防 | 引燃 / 火焰护盾 / 充分燃烧 | 3个技能PVE杀完了
夜枭: 攻击↓ | 生命+魔攻+速度 | 快速移动 / 灵媒 / 阳火增辉 / 阻断 | 万恶之源；首领幽影树好兄弟；快速移动一次过135极速开始推队
小皮球: 攻击↓ | 生命+魔攻+物防 | 加大功率 / 大爆炸 / 徒长 / 吓退 / 麻痹 / 落雷 | 对上高速精灵可以后手给后排精灵充能一一；麻痹和吓退救场技能2选1
贝古斯:  |  |  | 
粉耳星兔: 攻击↓ | 生命+魔攻+速度 | 水波术 / 孢子 / 引燃 / 嗜痛 | 孢子吸12％，引燃等倍烧307；火系烧不了的可以用水波术克制；水波术一回合提升40威力
落陨星兔: 攻击↓ | 生命+魔攻+速度 | 恐吓 / 大爆炸 / 吓退 / 多维击打 / 嘲弄 | 130速高速强化推队手；吓退救场有时非常关键
